,date,ini_time,sw_type,band_type,ongoing,ini_trof_t,curvature,4_in,3_in,2_in,1_in,0_in,1_in,2_in,3_in,4_in,mot_type,4_mot,3_mot,2_mot,1_mot,0_mot,1_mot,2_mot,3_mot,4_mot,4_str,2_str,0_str,2_str,4_str,4_wid,3_wid,2_wid,1_wid,0_wid,1_wid,2_wid,3_wid,4_wid,4_angle,3_angle,2_angle,1_angle,0_angle,1_angle,2_angle,3_angle,4_angle
1,18/10/2018,0,3,3,1,6,1,290.2,238.9,250,301.9,354.5,73.1,NA,NA,NA,x-ss,34.9,19.7,-8.4,-67.9,17,42.2,57.2,NA,NA,3,1,3,3,3,14.2,18.7,34.5,21.6,24,12.9,13.2,6.1,4.8,300,300,285,285,280,285,300,305,NA
9,14/11/2018,3,4,3,1,6,0,239.7,257.5,179.8,176.9,222.9,295.7,282.9,274.3,400.3,y-es,-36.9,-17.5,0,-10.5,-17.7,-14.7,-37.8,-59.2,NA,1,1,1,2,2,17.3,29.3,31.8,27.2,29,19.6,12.2,14.6,19.5,280,280,270,270,275,275,275,280,285
10,21/11/2018,15,3,3,1,18,0,161,130.6,244,297.2,309.2,308.3,293.1,300.8,248.9,y -es,65.9,25.9,-9.2,-49.4,-96.2,80.6,47.5,43.3,43.1,1,1,3,3,3,35.3,39.8,28.3,23.1,12.7,20.9,11.1,12.2,8.6,260,255,255,250,250,250,255,260,260
23,9/1/2019,6,2,3,1,0,0,210.3,255.2,260.9,200.7,216.7,323.8,329.6,300.2,272.6,x-ss,129.4,154.8,170.9,130.7,78.8,50.9,60.2,42.5,37.5,2,2,3,NA,NA,17.1,16.5,18.2,11.3,9.9,9.9,8.2,10.1,14.1,300,290,290,300,295,290,285,290,295
24,10/1/2019,9,3,3,1,21,0,218.4,210.4,231.7,231,191.1,191.3,195.4,226.8,235.6,no dom,,,,,,,,,,NA,NA,3,3,2,7.3,9.3,7.8,11.2,9.7,5.1,6.7,1.8,5.6,310,310,300,310,310,315,310,290,285
30,25/2/2019,18,3,3,1,21,0,293.2,288.5,316.1,325.8,392.2,331.2,342.9,349.3,NA,y-es,76.9,73.2,80.6,72.6,57.4,53.8,43.9,32.5,37.8,2,2,2,3,2,8.9,17.4,12.2,13.3,9,12.5,16.3,16.3,14.9,280,285,285,285,280,280,285,285,285
36,19/3/2019,3,3,3,1,18,1,105.4,106.2,154.2,164.4,151.8,226.8,241.8,209.2,185.6,y-es,81.9,80.2,79.3,103.8,117.2,7.3,13.4,11.1,9.5,2,2,2,1,2,8.1,6.1,9,9,13.5,12.5,8.9,11.5,6.7,275,260,290,290,290,290,290,290,285
47,7/12/2017,18,4,3,1,10,1,225.2,33,147.8,160.4,206.8,241.9,282.2,250.5,252.1,y-es,73.2,68.4,68.4,72,84.2,73.4,64.4,64.7,65.9,2,1,2,1,2,16.3,14.1,33.2,28.5,23.1,23.7,35.1,17.1,11.6,260,260,260,255,255,250,250,255,255
48,8/12/2017,12,4,3,1,12,1,127.6,129.7,155.7,125,148.3,133.8,129.1,135,126.2,y-es,90.4,80.6,83,90.4,102.5,103.8,117.2,127.1,135.5,2,2,2,3,2,25.9,36.9,19.6,28.1,24.8,36.6,23.3,18.8,28.6,265,265,270,255,255,250,250,265,260
53,15/12/2017,21,5,3,1,3,1,141.6,71.5,84.3,106.3,71.5,151,191.1,137.7,155.4,y-es,142.8,144.1,141.6,138,128.2,85.5,68.4,73.3,70.8,1,2,1,1,2,19.4,18.1,25.3,13.1,14.7,21.1,25,34.2,45.2,240,260,250,230,230,240,220,235,255
56,29/12/2017,6,2,3,1,15,0,29.6,27.4,29,NA,NA,NA,NA,NA,NA,y-ws,54.9,59.9,77,83,83,90.3,83,94.1,92.8,2,2,1,2,2,8.6,9.2,3.7,5.2,4.1,5.2,4.5,4.9,3.6,270,275,275,275,270,270,270,265,270
58,4/1/2018,12,2,3,1,6,0,28.2,57.2,90.8,125.9,83.4,70.4,55.2,87.6,37.6,x-ss,75.1,72.4,60.9,86.7,151.8,131,126.5,128.4,138.4,1,1,3,2,1,6.7,3.6,7.5,3,3,5.1,3.6,4.5,5.2,300,290,290,310,310,300,310,300,290
60,15/1/2018,18,4,3,1,0,0,174.9,223.7,313.6,72.1,120.7,114.4,154.2,151.1,155.5,x-ss,124,102,173.1,58.7,62.7,146.7,197.4,269.8,105.1,1,2,2,2,2,NA,NA,NA,NA,15.1,25.2,13.2,18.2,20.2,315,300,310,310,290,295,295,285,285
76,3/12/2014,18,5,3,1,0,1,158.4,121.1,128.8,151.6,275.9,244.2,315.5,200.5,244.7,y-es,84,68.4,87.9,73.3,75.7,97.7,81.8,83,85.4,2,1,2,2,2,8.6,11.1,21.4,21.7,22,13.4,35.5,33,24.4,250,240,270,270,285,280,280,275,270
77,19/12/2014,6,1,3,1,21,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,y-ws,74.7,61.4,NA,129.5,83.2,108.7,103.8,84.3,NA,3,3,1,2,3,2.3,6.6,5.6,7.1,6.6,11.3,12.7,11.5,14.4,300,240,300,285,290,285,295,280,280
80,1/1/2015,0,5,3,1,9,0,106.2,96,117.1,87.2,125.3,94.8,94.3,106.3,76.8,y-es,119.6,105,89.1,91.6,79.5,96.5,107.4,108.6,129.4,2,2,2,3,3,22.6,29.2,34.1,41.1,32,29.4,21.1,27.7,18.6,255,245,245,255,250,260,255,260,260
86,8/1/2015,6,3,3,1,12,1,16.2,18,19,33.9,30.5,55.1,64.6,63.6,73.2,y-cent,73.3,51.3,42.7,51.3,46.4,51.3,62.3,69.6,74.5,1,1,2,2,1,10.7,9,12.2,11.5,13.3,15.3,19,23.5,14.1,285,290,270,270,265,260,270,270,260
93,19/2/2015,0,1,3,1,6,1,29.2,71.9,94.3,88.9,73.5,66.2,98.2,45.2,52.2,y-cent,47.6,56.2,55,24.4,25.6,87.9,107.4,91.5,83.2,2,3,3,3,3,20,20.3,12.6,6.6,8.6,8.8,7.2,11.6,10.1,300,280,280,310,340,310,330,330,320
105,13/1/2016,6,2,3,1,9,1,131.5,169.4,235.7,239,263.1,272.2,375.6,385.9,354.4,y-es,75.8,100.2,103.7,15.9,24.4,24.9,36.6,33,34.2,1,2,2,2,3,16.3,14.1,13,19.1,22.3,16,9.8,8.5,12.3,240,300,290,290,300,290,290,285,285
114,1/3/2016,0,5,3,1,6,0,NA,NA,113.3,133.3,34,37.6,43.5,51.6,62.4,y-ws,NA,56.2,79.4,78.1,80.6,92.8,70.8,63.5,50.1,2,1,2,2,1,12.5,11.6,14.7,15.1,8.6,15.6,14.8,13.4,20.8,320,270,280,290,290,290,290,300,280
123,18/12/2016,18,5,3,1,3,0,52.1,76.3,82.9,84.1,66.2,73.7,78.5,99.4,109.7,y-es,25.6,28.1,24.1,0,0,0,-3.8,-2.4,-20.7,1,2,1,2,2,13,17.1,12.2,15.9,13.5,14.9,7.8,12.7,8.7,300,290,280,280,280,280,285,285,290
126,22/12/2016,6,5,3,1,21,0,73,106.9,146.6,208.2,237,246.1,247,NA,NA,y-es,61,57.4,41.5,27.1,12.2,-7.3,NA,NA,NA,2,2,2,3,3,6.4,9.9,11.5,11.5,10.1,14.7,8.8,12.7,4.4,270,275,275,275,280,280,295,NA,NA
129,30/12/2016,21,3,3,1,0,0,312.2,401.1,353.2,321.9,247.8,249.7,305.7,325.6,321.2,y-es,114.9,101.3,97.7,18.4,12.2,27,28.1,33,36.8,2,1,2,1,1,10.1,7.1,12.2,9.9,14.8,16.3,14.9,17,21.9,290,285,295,295,290,290,285,285,290
135,27/1/2017,15,3,3,1,18,0,272.1,257.6,256.1,262.2,282.9,260.8,210.8,206.7,199.7,y-es,68.4,67.1,54.9,56.1,51.3,67.1,70.8,73.2,68.4,2,1,2,1,1,25.2,26.9,29.3,18.3,17.2,17.3,23.3,18.3,17.1,300,280,270,270,270,280,275,280,280
