date,ini_time,sw_type,band_type,ongoing,curvature,0_trof_time,4_inext,3_inext,2_inext,1_inext,0_inext,1_inext,2_inext,3_inext,4_inext,delta(4by2),delta(2by0),delta(0by2),delta(2by4),delta(4 by 0),delta(0by4),delta(4by1),delta(1by1),delta(1by4),delta(4by3),delta(3by2),delta(2by1),delta(1by0),delta(1by0),delta(2-1),delta(3-2),delta(4-3),4_angle,3_angle,2_angle,1_angle,0_angle,1_angle,2_angle,3_angle,4_angle,4_width,3_width,2_width,1_width,0_width,1_width,2_width,3_width,4_width,4_move,3_move,2_move,1_move,0_move,1_move,2_move,3_move,4_move,4_str,2_str,0_str,2_str,4_str,d(2-4)_width,d(0-2)_width,d(2-0)_width,d(4-2)_width,d(2-4)_move,d(0-2)_move,d(2-0)_move,d(4-2)_move
6/12/2018,9,5,1,1,1,15,128.6,142.7,143,154.9,128,158.5,146.4,128.4,170.9,14.1,-15,18.4,42.5,-0.6,42.9,26.3,3.6,12.4,14.1,0.3,11.9,-26.9,30.5,-12.1,-18,42.5,  ,260,300,275,275,255,280,260,260,68.4,57.4,30.3,50.7,30.6,39.4,34.2,32.6,28.5,79.4,75.7,51.3,67.1,70.8,75.7,80.6,83,68.4,1,1,3,3,3,-38.1,0.3,3.6,-5.7,-28.1,19.5,9.8,-12.2
11/12/2018,18,3,1,1,1,0,138.5,151.5,150,178.6,67.4,119.5,162.2,127.7,230,13,-82.6,94.8,102.3,-71.1,162.6,40.1,-59.1,110.5,13,-1.5,28.6,-111.2,52.1,42.7,-34.5,102.3,250,260,260,250,230,230,230,260,255,31.7,29.3,53.8,69.7,62.7,42.2,34.4,48.2,19.4,86.7,89.1,58.6,97.7,105,59.8,42.7,13.5,26.9,3,1,1,3,3,22.1,8.9,-28.3,-15,-28.1,46.4,-62.3,-15.8
24/12/2018,15,3,1,1,1,21,91.2,128.8,163.5,181.9,143.9,151.2,152.7,231.8,245.5,37.6,-19.6,8.8,13.7,52.7,101.6,90.7,-30.7,94.3,37.6,34.7,18.4,-38,7.3,1.5,79.1,13.7,290,280,270,290,280,270,270,300,290,53.1,56.9,26.2,26.3,29.3,35.4,39.3,32,30.2,36.6,46.4,42.7,39.1,51.3,31.7,20.8,26.9,18.5,1,1,2,3,3,-26.9,3.1,10,-9.1,6.1,8.6,-30.5,-2.3
25/1/2019,12,2,1,1,1,15,145.5,230.1,258.7,294.4,312.3,303.3,235.9,213.8,246.3,84.6,53.6,-76.4,32.5,166.8,-66,148.9,8.9,-57,84.6,28.6,35.7,17.9,-9,-67.4,-22.1,32.5,265,260,260,260,260,260,255,260,260,16.6,19.6,20.9,31.1,22.3,32.3,27.5,33.4,20.2,109.9,106.2,81.8,83,79.3,89.1,87.9,80.6,83,1,2,2,2,3,4.3,1.4,5.2,-7.3,-28.1,-2.5,8.6,-4.9
7/3/2019,6,3,1,1,1,12,45.1,47.1,26.1,30.4,38.4,19.8,48.1,77.1,71.1,2,12.3,9.7,-6,-6.7,32.7,-14.7,-10.6,51.3,2,-21,4.3,8,-18.6,28.3,29,-6,280,275,265,265,255,250,240,240,250,33.8,23.8,43.2,13.6,17,9.3,15.7,26.8,6.7,-3,3.8,8.5,54.9,63.5,72,42.8,-15.4,-58.6,3,1,2,3,3,9.4,-26.2,-1.3,-9,11.5,55,-20.7,-101.4
16/3/2019,6,2,1,1,1,12,143.9,223.2,239.7,236.1,235.4,237.2,239.5,274.3,279.4,79.3,-4.3,4.1,5.1,91.5,44,92.2,1.1,42.2,79.3,16.5,-3.6,-0.7,1.8,2.3,34.8,5.1,230,265,275,260,270,255,280,280,280,12.1,7.4,10,5.6,24.6,34.9,28.1,20.8,23.3,-51.3,30.5,-9.8,3.7,12.2,33,13.4,30.6,35.4,1,3,3,1,1,-2.1,14.6,3.5,-4.8,41.5,22,1.2,22
10/11/2017,0,2,1,1,1,6,0,0,0,0,100.9,354.7,344.9,375.2,428.1,0,100.9,244,52.9,100.9,327.2,0,354.7,73.4,0,0,0,100.9,253.8,-9.8,30.3,52.9,NA,NA,NA,NA,265,260,270,270,275,NA,NA,NA,NA,18.7,28.1,30.5,40.7,11.6,NA,NA,NA,NA,24.6,18.3,-18.4,-11,-9.9,NA,NA,1,2,3,NA,NA,11.8,-18.9,NA,NA,-43,8.5
27/11/2017,3,3,1,1,1,6,393.4,350.2,272.7,234.2,336.3,348.1,226.7,288.1,316.5,-43.2,63.6,-109.6,28.4,-57.1,-19.8,-159.2,113.9,-31.6,-43.2,-77.5,-38.5,102.1,11.8,-121.4,61.4,28.4,NA,NA,NA,NA,265,270,275,280,270,94.3,100.9,89.1,41.5,44.9,35.4,17.3,24.4,14.5,78.1,30.5,19.5,20.8,24.4,4.9,-3.7,6.1,6.1,1,3,1,3,3,-5.2,-44.2,-27.6,-2.8,-58.6,4.9,-28.1,9.8
3/12/2017,12,3,1,1,0,18,333,373.5,401.8,234.9,456.6,0,0,0,0,40.5,54.8,-456.6,0,123.6,-456.6,-98.1,-234.9,0,40.5,28.3,-166.9,221.7,-456.6,0,0,0,270,270,270,280,280,NA,NA,NA,NA,38.5,15.3,33.7,18.9,10.4,NA,NA,NA,NA,34.2,34.2,42.7,37.8,52.5,34.2,33,31.7,26.9,1,1,3,NA,NA,-4.8,-23.3,NA,NA,8.5,9.8,-19.5,-6.1
1/1/2018,18,3,1,1,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265,265,270,260,260,260,260,260,260,11,14.7,14.6,25.1,32.8,15.7,9.8,14.4,14.4,15.9,29.3,16.5,18.4,45.8,38.4,43.3,41.5,36.6,1,1,2,1,1,3.6,18.2,-23,4.6,0.6,29.3,-2.5,-6.7
9/2/2018,12,5,1,1,1,15,87,77.5,105.6,66.4,87,112.2,22,0,0,-9.5,-18.6,-65,0,0,-87,-20.6,45.8,-112.2,-9.5,28.1,-39.2,20.6,25.2,-90.2,-22,0,280,280,280,270,270,260,270,250,NA,45.2,27.5,23.8,23.9,17.8,22.2,14.1,18.3,11.6,42.7,51.9,59.8,64.2,78.3,95.2,100.1,128.8,129.4,2,3,3,3,3,-21.4,-6,-3.7,-2.5,17.1,18.5,21.8,29.3
15/11/2014,15,5,1,1,1,21,185.2,182.8,184.2,172.8,197.3,114.4,92.4,109.7,128.7,-2.4,13.1,-104.9,19,12.1,-68.6,-12.4,-58.4,14.3,-2.4,1.4,-11.4,24.5,-82.9,-22,17.3,19,NA,NA,NA,NA,NA,270,260,260,260,33.1,26.1,33.5,36.1,52.1,55.8,65.9,46.4,39.7,29.3,18.9,20.1,61.6,72.6,69,80.6,78.7,87.9,1,1,2,1,3,0.4,18.6,13.8,-26.2,-9.2,52.5,8,7.3
18/11/2014,0,5,1,1,1,18,284.3,290.6,302.4,300.4,296.9,130.5,122.6,142.5,142.3,6.3,-5.5,-174.3,-0.2,12.6,-154.6,16.1,-169.9,11.8,6.3,11.8,-2,-3.5,-166.4,-7.9,19.9,-0.2,255,255,255,255,255,255,255,255,255,23.4,27.5,29.1,32,35.8,31.1,31.8,28.1,18.7,97,96.4,94.6,91.5,87.3,86.7,80.6,86.7,86.1,2,2,2,3,3,5.7,6.7,-4,-13.1,-2.4,-7.3,-6.7,5.5
